full_name,level,family,label,eco_codes,canonical_pgn
Alekhine Defense,0,Alekhine Defense,Alekhine Defense,B02|B03|B04|B05,1. e4 Nf6
Balogh Variation,1,Alekhine Defense,Balogh Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Bc4
Brooklyn Variation,1,Alekhine Defense,Brooklyn Variation,B02,1. e4 Nf6 2. e5 Ng8
Brooklyn Variation: Everglades Variation,2,Alekhine Defense,Everglades Variation,B02,1. e4 Nf6 2. e5 Ng8 3. d4 f5
Buckley Attack,1,Alekhine Defense,Buckley Attack,B02,1. e4 Nf6 2. e5 Nd5 3. Na3
Exchange Variation,1,Alekhine Defense,Exchange Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6
Exchange Variation: Karpov Variation,2,Alekhine Defense,Karpov Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. h3 Bg7 8. Nf3 O-O 9. Be2 Nc6 10. O-O Bf5 11. Bf4
Exchange Variation: Voronezh Variation,2,Alekhine Defense,Voronezh Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. exd6 cxd6 6. Nc3 g6 7. Be3 Bg7 8. Rc1 O-O 9. b3
Four Pawns Attack,1,Alekhine Defense,Four Pawns Attack,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4
Four Pawns Attack: Cambridge Gambit,2,Alekhine Defense,Cambridge Gambit,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g5
Four Pawns Attack: Fianchetto Variation,2,Alekhine Defense,Fianchetto Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 g6
Four Pawns Attack: Ilyin-Zhenevsky Variation,2,Alekhine Defense,Ilyin-Zhenevsky Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Nf3 Bg4 8. e6 fxe6 9. c5
Four Pawns Attack: Korchnoi Variation,2,Alekhine Defense,Korchnoi Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Bf5 7. Nc3 e6 8. Nf3 Be7 9. Be2 O-O 10. O-O f6
Four Pawns Attack: Main Line,2,Alekhine Defense,Main Line,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3
Four Pawns Attack: Tartakower Variation,2,Alekhine Defense,Tartakower Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. O-O Be7
Four Pawns Attack: Trifunovic Variation,2,Alekhine Defense,Trifunovic Variation,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 Bf5
Hunt Variation,1,Alekhine Defense,Hunt Variation,B02|B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. c5
Hunt Variation: Lasker Simul Gambit,2,Alekhine Defense,Lasker Simul Gambit,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3
Hunt Variation: Matsukevich Gambit,2,Alekhine Defense,Matsukevich Gambit,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5
Hunt Variation: Mikenas Gambit,2,Alekhine Defense,Mikenas Gambit,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6 7. Nxd5 exd5 8. Bxd5
Kmoch Variation,1,Alekhine Defense,Kmoch Variation,B02,1. e4 Nf6 2. e5 Nd5 3. Bc4 Nb6 4. Bb3 c5 5. d3
Krejcik Variation,1,Alekhine Defense,Krejcik Variation,B02,1. e4 Nf6 2. Bc4
Krejcik Variation: Krejcik Gambit,2,Alekhine Defense,Krejcik Gambit,B02,1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+
Maróczy Variation,1,Alekhine Defense,Maróczy Variation,B02,1. e4 Nf6 2. d3
Modern Variation,1,Alekhine Defense,Modern Variation,B03|B04|B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
Modern Variation: Alburt Variation,2,Alekhine Defense,Alburt Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6
Modern Variation: Alekhine Gambit,2,Alekhine Defense,Alekhine Gambit,B03,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2
Modern Variation: Alekhine Variation,2,Alekhine Defense,Alekhine Variation,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4
Modern Variation: Flohr Variation,2,Alekhine Defense,Flohr Variation,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6
Modern Variation: Keres Variation,2,Alekhine Defense,Keres Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4
Modern Variation: Larsen Variation,2,Alekhine Defense,Larsen Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5
Modern Variation: Larsen-Haakert Variation,2,Alekhine Defense,Larsen-Haakert Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nc6
Modern Variation: Main Line,2,Alekhine Defense,Main Line,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4
Modern Variation: Panov Variation,2,Alekhine Defense,Panov Variation,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. h3
Modern Variation: Schmid Variation,2,Alekhine Defense,Schmid Variation,B04,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nb6
Modern Variation: Vitolins Attack,2,Alekhine Defense,Vitolins Attack,B05,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4 Nb6 6. d5
Mokele Mbembe,1,Alekhine Defense,Mokele Mbembe,B02,1. e4 Nf6 2. e5 Ne4
Mokele Mbembe: Modern Line,2,Alekhine Defense,Modern Line,B02,1. e4 Nf6 2. e5 Ne4 3. d4 f6
Mokele Mbembe: Vavra Defense,2,Alekhine Defense,Vavra Defense,B02,1. e4 Nf6 2. e5 Ne4 3. d4 e6
Normal Variation,1,Alekhine Defense,Normal Variation,B02,1. e4 Nf6 2. e5 Nd5
O'Sullivan Gambit,1,Alekhine Defense,O'Sullivan Gambit,B03,1. e4 Nf6 2. e5 Nd5 3. d4 b5
Scandinavian Variation,1,Alekhine Defense,Scandinavian Variation,B02,1. e4 Nf6 2. Nc3 d5
Scandinavian Variation: Geschev Gambit,2,Alekhine Defense,Geschev Gambit,B02,1. e4 Nf6 2. Nc3 d5 3. exd5 c6
Scandinavian Variation: Myers Gambit,2,Alekhine Defense,Myers Gambit,B02,1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5
Spielmann Gambit,1,Alekhine Defense,Spielmann Gambit,B02,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6
Steiner Variation,1,Alekhine Defense,Steiner Variation,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3
Sämisch Attack,1,Alekhine Defense,Sämisch Attack,B02,1. e4 Nf6 2. e5 Nd5 3. Nc3
The Squirrel,1,Alekhine Defense,The Squirrel,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nf4
Two Pawns Attack,1,Alekhine Defense,Two Pawns Attack,B02,1. e4 Nf6 2. e5 Nd5 3. c4
Two Pawns Attack: Lasker Variation,2,Alekhine Defense,Lasker Variation,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5
Two Pawns Attack: Mikenas Variation,2,Alekhine Defense,Mikenas Variation,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6
Two Pawns Attack: Tate Variation,2,Alekhine Defense,Tate Variation,B02,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. a4
Welling Variation,1,Alekhine Defense,Welling Variation,B02,1. e4 Nf6 2. e5 Nd5 3. b3
Amar Opening,0,Amar Opening,Amar Opening,A00,1. Nh3
Paris Gambit,1,Amar Opening,Paris Gambit,A00,1. Nh3 d5 2. g3 e5 3. f4
Paris Gambit: Gent Gambit,2,Amar Opening,Gent Gambit,A00,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3
Amazon Attack,0,Amazon Attack,Amazon Attack,A45|D00,1. d4 d5 2. Qd3
Siberian Attack,1,Amazon Attack,Siberian Attack,A45,1. d4 Nf6 2. Nc3 d5 3. Qd3
Amsterdam Attack,0,Amsterdam Attack,Amsterdam Attack,A00,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
Anderssen's Opening,0,Anderssen's Opening,Anderssen's Opening,A00,1. a3
Polish Gambit,1,Anderssen's Opening,Polish Gambit,A00,1. a3 a5 2. b4
Australian Defense,0,Australian Defense,Australian Defense,A40,1. d4 Na6
Barnes Defense,0,Barnes Defense,Barnes Defense,B00,1. e4 f6
Barnes Opening,0,Barnes Opening,Barnes Opening,A00|C20,1. f3
Fool's Mate,1,Barnes Opening,Fool's Mate,A00,1. f3 e5 2. g4 Qh4#
Gedult Gambit,1,Barnes Opening,Gedult Gambit,A00,1. f3 f5 2. e4 fxe4 3. Nc3
Hammerschlag,1,Barnes Opening,Hammerschlag,A00,1. f3 e5 2. Kf2
Walkerling,1,Barnes Opening,Walkerling,C20,1. f3 e5 2. e4 Nf6 3. Bc4
Benko Gambit,0,Benko Gambit,Benko Gambit,A57|A58|A59,1. d4 Nf6 2. c4 c5 3. d5 b5
Fianchetto Variation,1,Benko Gambit,Fianchetto Variation,A58,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. g3
Mutkin Countergambit,1,Benko Gambit,Mutkin Countergambit,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. g4
Nd2 Variation,1,Benko Gambit,Nd2 Variation,A58,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. Nd2
Nescafe Frappe Attack,1,Benko Gambit,Nescafe Frappe Attack,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Bc4
Zaitsev System,1,Benko Gambit,Zaitsev System,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3
Zaitsev Variation,1,Benko Gambit,Zaitsev Variation,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5
Zaitsev Variation: Nescafe Frappe Attack,2,Benko Gambit,Nescafe Frappe Attack,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5
Benko Gambit Accepted,0,Benko Gambit Accepted,Benko Gambit Accepted,A57|A58|A59,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6
Central Storming Variation,1,Benko Gambit Accepted,Central Storming Variation,A58,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. f4
Dlugy Variation,1,Benko Gambit Accepted,Dlugy Variation,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. f3
Fianchetto Variation,1,Benko Gambit Accepted,Fianchetto Variation,A58,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. g3 d6 8. Bg2 Bg7 9. Nf3
Fully Accepted Variation,1,Benko Gambit Accepted,Fully Accepted Variation,A58,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
King Walk Variation,1,Benko Gambit Accepted,King Walk Variation,A59,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. Nf3 d6 8. e4 Bxf1 9. Kxf1 Bg7 10. g3 O-O 11. Kg2
Modern Variation,1,Benko Gambit Accepted,Modern Variation,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. e3
Pawn Return Variation,1,Benko Gambit Accepted,Pawn Return Variation,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. b6
Yugoslav,1,Benko Gambit Accepted,Yugoslav,A59,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
Benko Gambit Declined,0,Benko Gambit Declined,Benko Gambit Declined,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5
Bishop Attack,1,Benko Gambit Declined,Bishop Attack,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5
Hjørring Countergambit,1,Benko Gambit Declined,Hjørring Countergambit,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. e4
Main Line,1,Benko Gambit Declined,Main Line,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nf3
Pseudo-Sämisch,1,Benko Gambit Declined,Pseudo-Sämisch,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. f3
Quiet Line,1,Benko Gambit Declined,Quiet Line,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nd2
Sosonko Variation,1,Benko Gambit Declined,Sosonko Variation,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. a4
Benoni Defense,0,Benoni Defense,Benoni Defense,A40|A43|A44|A56|A60|A61|A62|A63|A64|A65|A66|A67|A68|A69|A70|A71|A72|A73|A74|A75|A76|A77|A78|A79,1. d4 Nf6 2. c4 c5
Benoni Gambit,1,Benoni Defense,Benoni Gambit,A43,1. d4 c5 2. dxc5 Na6
Benoni Gambit: Schlenker Defense,2,Benoni Defense,Schlenker Defense,A43,1. d4 c5 2. dxc5 Na6
Benoni Gambit Accepted,1,Benoni Defense,Benoni Gambit Accepted,A43,1. d4 c5 2. dxc5
Benoni-Indian Defense,1,Benoni Defense,Benoni-Indian Defense,A43,1. d4 c5 2. d5 Nf6
Benoni-Indian Defense: Kingside Move Order,2,Benoni Defense,Kingside Move Order,A43,1. d4 c5 2. d5 Nf6 3. Nf3
Benoni-Staunton Gambit,1,Benoni Defense,Benoni-Staunton Gambit,A43,1. d4 c5 2. d5 f5 3. e4
Classical Variation,1,Benoni Defense,Classical Variation,A70|A71|A72|A73|A74|A75|A76|A77|A78|A79,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4
Classical Variation: Argentine Counterattack,2,Benoni Defense,Argentine Counterattack,A75,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2 O-O 9. O-O a6 10. a4 Bg4
Classical Variation: Averbakh-Grivas Attack,2,Benoni Defense,Averbakh-Grivas Attack,A71,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Bg5
Classical Variation: Czerniak Defense,2,Benoni Defense,Czerniak Defense,A76|A77|A78|A79,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8
Classical Variation: Czerniak Defense: Tal Line,3,Benoni Defense,Tal Line,A77,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2
Classical Variation: Full Line,2,Benoni Defense,Full Line,A74,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6 10. a4
Classical Variation: Main Line,2,Benoni Defense,Main Line,A73,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O
Classical Variation: New York Variation,2,Benoni Defense,New York Variation,A70,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. h3
Classical Variation: Traditional Variation,2,Benoni Defense,Traditional Variation,A70,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2
Cormorant Gambit,1,Benoni Defense,Cormorant Gambit,A43,1. d4 c5 2. dxc5 b6
Czech Benoni Defense,1,Benoni Defense,Czech Benoni Defense,A56,1. d4 Nf6 2. c4 c5 3. d5 e5
Fianchetto Variation,1,Benoni Defense,Fianchetto Variation,A61|A62|A63|A64,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. g3
Fianchetto Variation: Hastings Defense,2,Benoni Defense,Hastings Defense,A63|A64,1. d4 Nf6 2. c4 e6 3. g3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg2 Bg7 8. Nf3 O-O 9. O-O Nbd7
Fianchetto Variation: Hastings Defense: Main Line,3,Benoni Defense,Main Line,A64,1. d4 Nf6 2. c4 e6 3. g3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg2 Bg7 8. Nf3 O-O 9. O-O a6 10. a4 Nbd7 11. Nd2 Re8
Four Pawns Attack,1,Benoni Defense,Four Pawns Attack,A68|A69,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O
Four Pawns Attack: Main Line,2,Benoni Defense,Main Line,A69,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O 9. Be2 Re8
Franco-Sicilian Hybrid,1,Benoni Defense,Franco-Sicilian Hybrid,A40,1. d4 e6 2. c4 c5 3. d5 exd5 4. cxd5 d6 5. Nc3 g6 6. e4 Bg7 7. Nf3 Ne7
French Benoni,1,Benoni Defense,French Benoni,A43,1. e4 e6 2. d4 c5 3. d5
Hawk Variation,1,Benoni Defense,Hawk Variation,A43,1. d4 Nf6 2. Nf3 c5 3. d5 c4
Hromádka System,1,Benoni Defense,Hromádka System,A56,1. d4 Nf6 2. c4 c5 3. d5 d6
King's Indian System,1,Benoni Defense,King's Indian System,A56,1. d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 g6
King's Pawn Line,1,Benoni Defense,King's Pawn Line,A65,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4
King's Pawn Line: with Be3,2,Benoni Defense,with Be3,A65,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f3 Bg7 8. Be3
King's Pawn Line: with Bg5,2,Benoni Defense,with Bg5,A65,1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Bg5 c5 7. d5
King's Pawn Line: with Nge2,2,Benoni Defense,with Nge2,A65,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f3 Bg7 8. Nge2
Knight's Tour Variation,1,Benoni Defense,Knight's Tour Variation,A61,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Nd2
Mikenas Variation,1,Benoni Defense,Mikenas Variation,A66,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. e5
Modern Variation,1,Benoni Defense,Modern Variation,A60,1. d4 Nf6 2. c4 c5 3. d5 e6
Modern Variation: Snake Variation,2,Benoni Defense,Snake Variation,A60,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 Bd6
Old Benoni,1,Benoni Defense,Old Benoni,A43|A44,1. d4 c5
Old Benoni: Mujannah Formation,2,Benoni Defense,Mujannah Formation,A43,1. d4 c5 2. d5 f5
Old Benoni: Schmid Variation,2,Benoni Defense,Schmid Variation,A43,1. d4 c5 2. d5 d6 3. Nc3 g6
Pawn Storm Variation,1,Benoni Defense,Pawn Storm Variation,A66,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
Semi-Benoni,1,Benoni Defense,Semi-Benoni,A44,1. d4 c5 2. d5 e5 3. e4 d6
Snail Variation,1,Benoni Defense,Snail Variation,A43,1. d4 c5 2. d5 Na6
Taimanov Variation,1,Benoni Defense,Taimanov Variation,A67,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Bb5+
Uhlmann Variation,1,Benoni Defense,Uhlmann Variation,A61,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg5
Weenink Variation,1,Benoni Defense,Weenink Variation,A56,1. d4 Nf6 2. c4 c5 3. dxc5 e6
Woozle,1,Benoni Defense,Woozle,A43,1. d4 c5 2. d5 Nf6 3. Nc3 Qa5
Zilbermints-Benoni Gambit,1,Benoni Defense,Zilbermints-Benoni Gambit,A43,1. d4 c5 2. b4
Zilbermints-Benoni Gambit: Tamarkin Countergambit,2,Benoni Defense,Tamarkin Countergambit,A43,1. d4 c5 2. Nf3 cxd4 3. b4 e5
Bird Opening,0,Bird Opening,Bird Opening,A02|A03|B21,1. f4
Batavo-Polish Attack,1,Bird Opening,Batavo-Polish Attack,A02,1. f4 Nf6 2. Nf3 g6 3. b4
Double Duck Formation,1,Bird Opening,Double Duck Formation,A02,1. f4 f5 2. d4 d5
Dutch Variation,1,Bird Opening,Dutch Variation,A03|B21,1. f4 d5
Dutch Variation: Batavo Gambit,2,Bird Opening,Batavo Gambit,B21,1. e4 c5 2. f4 d5 3. Nf3 dxe4
Dutch Variation: Dudweiler Gambit,2,Bird Opening,Dudweiler Gambit,A03,1. f4 d5 2. g4
From's Gambit,1,Bird Opening,From's Gambit,A02,1. f4 e5
From's Gambit: Bahr Gambit,2,Bird Opening,Bahr Gambit,A02,1. f4 e5 2. Nc3
From's Gambit: Langheld Gambit,2,Bird Opening,Langheld Gambit,A02,1. f4 e5 2. fxe5 d6 3. exd6 Nf6
From's Gambit: Lasker Variation,2,Bird Opening,Lasker Variation,A02,1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 g5
From's Gambit: Lipke Variation,2,Bird Opening,Lipke Variation,A02,1. f4 e5 2. fxe5 d6 3. exd6 Bxd6 4. Nf3 Nh6 5. d4
Hobbs Gambit,1,Bird Opening,Hobbs Gambit,A02,1. f4 g5
Hobbs-Zilbermints Gambit,1,Bird Opening,Hobbs-Zilbermints Gambit,A02,1. f4 h6 2. Nf3 g5
Horsefly Defense,1,Bird Opening,Horsefly Defense,A02,1. f4 Nh6
Lasker Gambit,1,Bird Opening,Lasker Gambit,A02,1. f4 e5 2. fxe5 f6
Lasker Variation,1,Bird Opening,Lasker Variation,A03,1. f4 d5 2. Nf3 Nf6 3. e3 c5
Mujannah,1,Bird Opening,Mujannah,A02,1. f4 Nf6 2. c4
Myers Defense,1,Bird Opening,Myers Defense,A02,1. f4 b5
Platz Gambit,1,Bird Opening,Platz Gambit,A02,1. f4 e5 2. fxe5 Ne7
Schlechter Gambit,1,Bird Opening,Schlechter Gambit,A02,1. f4 e5 2. fxe5 Nc6
Siegener Gambit,1,Bird Opening,Siegener Gambit,A02,1. f4 e5 2. d4 exd4 3. Nf3 c5 4. c3
Sturm Gambit,1,Bird Opening,Sturm Gambit,A03,1. f4 d5 2. c4
Swiss Gambit,1,Bird Opening,Swiss Gambit,A02,1. f4 f5 2. e4 fxe4 3. Nc3 Nf6 4. g4
Thomas Gambit,1,Bird Opening,Thomas Gambit,A03,1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3
Wagner-Zwitersch Gambit,1,Bird Opening,Wagner-Zwitersch Gambit,A02,1. f4 f5 2. e4
Williams Gambit,1,Bird Opening,Williams Gambit,A03,1. f4 d5 2. e4
Williams-Zilbermints Gambit,1,Bird Opening,Williams-Zilbermints Gambit,A03,1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2
Bishop's Opening,0,Bishop's Opening,Bishop's Opening,C23|C24|C26|C27|C28|C43,1. e4 e5 2. Bc4
Anderssen Gambit,1,Bishop's Opening,Anderssen Gambit,C23,1. e4 e5 2. Bc4 b5 3. Bxb5 c6
Berlin Defense,1,Bishop's Opening,Berlin Defense,C24,1. e4 e5 2. Bc4 Nf6
Berlin Defense: Greco Gambit,2,Bishop's Opening,Greco Gambit,C24,1. e4 e5 2. Bc4 Nf6 3. f4
Boden-Kieseritzky Gambit,1,Bishop's Opening,Boden-Kieseritzky Gambit,C27,1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 4. Nc3
Boden-Kieseritzky Gambit: Lichtenhein Defense,2,Bishop's Opening,Lichtenhein Defense,C27,1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 4. Nc3 d5
Boi Variation,1,Bishop's Opening,Boi Variation,C23,1. e4 e5 2. Bc4 Bc5
Calabrese Countergambit,1,Bishop's Opening,Calabrese Countergambit,C23,1. e4 e5 2. Bc4 f5
Calabrese Countergambit: Jaenisch Variation,2,Bishop's Opening,Jaenisch Variation,C23,1. e4 e5 2. Bc4 f5 3. d3
Four Pawns Gambit,1,Bishop's Opening,Four Pawns Gambit,C23,1. e4 e5 2. Bc4 Bc5 3. b4 Bxb4 4. f4 exf4 5. Nf3 Be7 6. d4 Bh4+ 7. g3 fxg3 8. O-O gxh2+ 9. Kh1
Horwitz Gambit,1,Bishop's Opening,Horwitz Gambit,C26,1. e4 e5 2. Bc4 Nf6 3. Nc3 b5
Khan Gambit,1,Bishop's Opening,Khan Gambit,C23,1. e4 e5 2. Bc4 d5
Kitchener Folly,1,Bishop's Opening,Kitchener Folly,C24,1. e4 e5 2. Bc4 Nf6 3. d3 Be7 4. Nf3 O-O
Krejcik Gambit,1,Bishop's Opening,Krejcik Gambit,C24,1. e4 e5 2. Bc4 Nf6 3. f3 Bc5 4. Ne2 Nc6 5. b4
Lewis Countergambit,1,Bishop's Opening,Lewis Countergambit,C23,1. e4 e5 2. Bc4 Bc5 3. c3 d5
Lewis Countergambit: Walker Variation,2,Bishop's Opening,Walker Variation,C23,1. e4 e5 2. Bc4 Bc5 3. c3 d5 4. Bxd5 Nf6 5. d4
Lewis Gambit,1,Bishop's Opening,Lewis Gambit,C23,1. e4 e5 2. Bc4 Bc5 3. d4
